Validator,PT_VERSION,2.10.0
Validator,HIP_VERSION,701
Validator,HIPBLASLT_VERSION,100100-f6fa39dccf
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.1.0.f6fa39dccf
GemmTunableOp_BFloat16_TN,tn_6144_8192_7168_ld_7168_7168_6144,Gemm_Rocblas_-1162085587,27.6129
GemmTunableOp_BFloat16_TN,tn_6144_8192_5120_ld_5120_5120_6144,Default,19.6125
GemmTunableOp_BFloat16_TN,tn_5120_8192_15360_ld_15360_15360_5120,Gemm_Rocblas_-1162085580,56.4892
GemmTunableOp_BFloat16_TN,tn_5120_8192_13312_ld_13312_13312_5120,Gemm_Rocblas_-1162085587,47.7059
GemmTunableOp_BFloat16_TN,tn_5120_8192_11264_ld_11264_11264_5120,Default,39.2303
GemmTunableOp_BFloat16_TN,tn_5120_8192_9216_ld_9216_9216_5120,Default,29.7768
GemmTunableOp_BFloat16_TN,tn_5120_8192_7168_ld_7168_7168_5120,Gemm_Rocblas_-1162085587,22.0683
GemmTunableOp_BFloat16_TN,tn_5120_8192_6144_ld_6144_6144_5120,Default,23.1027
GemmTunableOp_BFloat16_TN,tn_9216_8192_9216_ld_9216_9216_9216,Default,52.5205
GemmTunableOp_BFloat16_TN,tn_5120_8192_5120_ld_5120_5120_5120,Gemm_Rocblas_-1162085592,15.9175
GemmTunableOp_BFloat16_TN,tn_4096_8192_15360_ld_15360_15360_4096,Gemm_Rocblas_-1162085575,44.263
GemmTunableOp_BFloat16_TN,tn_4096_8192_14336_ld_14336_14336_4096,Gemm_Rocblas_-1162085575,53.9611
GemmTunableOp_BFloat16_TN,tn_4096_8192_11264_ld_11264_11264_4096,Default,31.8688
GemmTunableOp_BFloat16_TN,tn_4096_8192_10240_ld_10240_10240_4096,Default,32.877
GemmTunableOp_BFloat16_TN,tn_4096_8192_9216_ld_9216_9216_4096,Gemm_Rocblas_-1162085587,24.7154
GemmTunableOp_BFloat16_TN,tn_4096_8192_7168_ld_7168_7168_4096,Gemm_Rocblas_-1162085587,18.6665
GemmTunableOp_BFloat16_TN,tn_4096_8192_3072_ld_3072_3072_4096,Gemm_Rocblas_-1162085576,7.39339
GemmTunableOp_BFloat16_TN,tn_3072_8192_14336_ld_14336_14336_3072,Gemm_Rocblas_-1162085581,40.0488
GemmTunableOp_BFloat16_TN,tn_3072_8192_13312_ld_13312_13312_3072,Gemm_Rocblas_-1162085592,28.7943
GemmTunableOp_BFloat16_TN,tn_3072_8192_12288_ld_12288_12288_3072,Gemm_Rocblas_-1162085575,33.6895
GemmTunableOp_BFloat16_TN,tn_3072_8192_10240_ld_10240_10240_3072,Gemm_Rocblas_-1162085592,25.7344
GemmTunableOp_BFloat16_TN,tn_3072_8192_9216_ld_9216_9216_3072,Gemm_Rocblas_-1162085592,18.9563
GemmTunableOp_BFloat16_TN,tn_3072_8192_7168_ld_7168_7168_3072,Gemm_Rocblas_-1162085592,13.4906
GemmTunableOp_BFloat16_TN,tn_3072_8192_6144_ld_6144_6144_3072,Gemm_Rocblas_-1162085592,14.1705
GemmTunableOp_BFloat16_TN,tn_3072_8192_5120_ld_5120_5120_3072,Gemm_Rocblas_-1162085587,9.84421
GemmTunableOp_BFloat16_TN,tn_2048_8192_14336_ld_14336_14336_2048,Gemm_Rocblas_-1162085572,29.1554
GemmTunableOp_BFloat16_TN,tn_2048_8192_13312_ld_13312_13312_2048,Gemm_Rocblas_-1162085592,19.9468
GemmTunableOp_BFloat16_TN,tn_2048_8192_11264_ld_11264_11264_2048,Gemm_Rocblas_-1162085587,16.6257
GemmTunableOp_BFloat16_TN,tn_2048_8192_9216_ld_9216_9216_2048,Gemm_Rocblas_-1162085575,12.9026
GemmTunableOp_BFloat16_TN,tn_2048_8192_5120_ld_5120_5120_2048,Gemm_Rocblas_-1162085578,6.4945
GemmTunableOp_BFloat16_TN,tn_2048_8192_1024_ld_1024_1024_2048,Gemm_Rocblas_-1162085569,1.24268
GemmTunableOp_BFloat16_TN,tn_1024_8192_14336_ld_14336_14336_1024,Gemm_Rocblas_-1162085570,14.4359
GemmTunableOp_BFloat16_TN,tn_1024_8192_13312_ld_13312_13312_1024,Gemm_Rocblas_-1162085575,10.0553
GemmTunableOp_BFloat16_TN,tn_1024_8192_11264_ld_11264_11264_1024,Gemm_Rocblas_-1162085566,8.10633
GemmTunableOp_BFloat16_TN,tn_1024_8192_8192_ld_8192_8192_1024,Gemm_Rocblas_-1162085569,5.83915
GemmTunableOp_BFloat16_TN,tn_1024_8192_7168_ld_7168_7168_1024,Gemm_Rocblas_-1162085580,4.74888
GemmTunableOp_BFloat16_TN,tn_1024_8192_6144_ld_6144_6144_1024,Gemm_Rocblas_-1162085566,4.67835
GemmTunableOp_BFloat16_TN,tn_1024_8192_5120_ld_5120_5120_1024,Gemm_Rocblas_-1162085578,3.2346
GemmTunableOp_BFloat16_TN,tn_1024_8192_3072_ld_3072_3072_1024,Gemm_Rocblas_-1162085570,1.8628
GemmTunableOp_BFloat16_TN,tn_15360_7168_11264_ld_11264_11264_15360,Default,99.7121
GemmTunableOp_BFloat16_TN,tn_15360_8192_3072_ld_3072_3072_15360,Gemm_Rocblas_-1162085592,28.4387
GemmTunableOp_BFloat16_TN,tn_3072_8192_1024_ld_1024_1024_3072,Gemm_Rocblas_-1162085569,1.84573
GemmTunableOp_BFloat16_TN,tn_15360_7168_10240_ld_10240_10240_15360,Gemm_Rocblas_-1162085587,101.523
GemmTunableOp_BFloat16_TN,tn_15360_7168_8192_ld_8192_8192_15360,Gemm_Rocblas_-1162085591,78.0648
GemmTunableOp_BFloat16_TN,tn_15360_7168_6144_ld_6144_6144_15360,Gemm_Rocblas_-1162085592,58.4018
